iter	Passed	Remaining
0	1	153
1	2	137
2	4	133
3	5	120
4	6	119
5	7	116
6	8	113
7	9	109
8	10	106
9	11	103
10	12	100
11	13	98
12	14	97
13	15	98
14	17	96
15	18	95
16	19	93
17	19	90
18	20	89
19	21	87
20	22	85
21	23	84
22	24	82
23	25	81
24	26	79
25	27	77
26	28	76
27	29	74
28	30	73
29	31	72
30	32	71
31	33	70
32	34	69
33	35	68
34	36	67
35	37	66
36	38	65
37	39	64
38	40	63
39	41	61
40	42	61
41	42	59
42	43	58
43	45	57
44	46	56
45	46	55
46	47	53
47	48	52
48	49	51
49	50	50
50	51	49
51	52	48
52	53	47
53	54	46
54	54	44
55	55	43
56	56	42
57	57	41
58	57	40
59	58	38
60	59	37
61	59	36
62	60	35
63	61	34
64	61	33
65	62	32
66	63	31
67	64	30
68	65	29
69	65	28
70	66	27
71	67	26
72	68	25
73	69	24
74	70	23
75	70	22
76	71	21
77	72	20
78	73	19
79	74	18
80	74	17
81	75	16
82	76	15
83	77	14
84	78	13
85	78	12
86	79	11
87	80	10
88	80	10
89	81	9
90	82	8
91	83	7
92	84	6
93	85	5
94	85	4
95	86	3
96	87	2
97	88	1
98	88	0
99	89	0
